title,description,nb_tasks,complexity_score,actual_duration_days,motivation_phase
Lire 20 livres,Challenge lecture annuel,20,2,180,blocage
Créer une newsletter,Newsletter hebdomadaire,8,1,30,progression
Apprendre Kubernetes,Orchestration containers,15,4,60,critique
Développer un SaaS,Application SaaS complète,35,5,365,blocage
Apprendre Go,Langage Go,12,3,35,progression
Créer un dashboard,Tableau de bord analytique,10,2,28,progression
Apprendre Rust,Langage Rust,16,4,70,progression
Maîtriser AWS,Cloud Amazon Web Services,18,4,90,critique
Ranger le grenier,Tri et nettoyage grenier,5,1,4,demarrage
Apprendre MongoDB,Base NoSQL,10,2,25,progression
Créer un CRM,Système de gestion clients,20,4,80,progression
Apprendre GraphQL,API GraphQL,11,3,30,progression
Lire 30 livres,Lecture intensive annuelle,30,3,365,blocage
Apprendre Redis,Cache et base de données,8,2,18,sprint
Créer une marketplace,Plateforme marketplace,30,5,180,blocage
Apprendre Elasticsearch,Moteur de recherche,12,3,40,progression
Développer microservices,Architecture microservices,25,4,120,progression
Maîtriser Spring Boot,Framework Java,16,3,55,progression
Apprendre Kafka,Streaming de données,14,4,50,critique
Créer un chatbot,Bot conversationnel IA,12,3,35,progression
Apprendre TensorFlow,Machine Learning framework,20,4,90,critique
Ranger la cave,Nettoyage et organisation cave,4,1,3,demarrage
Apprendre PyTorch,Deep Learning framework,18,4,75,progression
Créer un réseau social,Plateforme sociale simple,28,5,150,blocage
Maîtriser Linux,Système d'exploitation,15,3,60,progression
Apprendre Jenkins,CI/CD pipeline,10,3,28,progression
Créer une app santé,Application de suivi santé,18,3,65,progression
Apprendre Terraform,Infrastructure as Code,12,3,40,progression
Lire 50 livres,Défi lecture extrême,50,4,365,blocage
Développer un CMS,Système de gestion contenu,22,4,90,progression
Apprendre Ansible,Automatisation IT,11,3,32,progression
Créer un forum,Forum communautaire,16,3,55,progression
Maîtriser PostgreSQL,Base de données avancée,13,3,45,progression
Apprendre Nginx,Serveur web et proxy,9,2,22,sprint
Créer un wiki,Wiki collaboratif,10,2,28,progression
Apprendre Selenium,Tests automatisés,10,2,25,progression
Développer un ERP,Système de gestion entreprise,40,5,365,blocage
